question,answer,label
how can heat food by microwave,Usually we just need put the food in it and make it start,0
Where can we find grass on the land?,In parks.,0
How do lions hunt?,Lions run fast to catch their preys. Their jaws are able to seize and squeeze a prey until it suffocates.,0
"If I want to swim in the river at 12:00, what should I bring?",Swimming suites and sunscreen.,0
List a monkey with golden fur.,Golden Snub-nosed Monkeys.,0
Where can a man buy a concert ticket?,He can buy it online.,0
What is the best vector for a plane to fly in the sky?,"Usually pilots can use tools, such as SkyVector, to help them navigate in the sky.",0
How many wheels does a car have nowadays?,Four.,0
What color is the eye of the rabbit?,"Under normal conditions, it is red.",0
How can we find a best friend in real life?,Find someone who can echo with your view.,0
Where to cure the illness of sick people?,Sick people usually go to hospitals and clinics to seek treatments that can cure their illnesses.,0
Which one can be used as a filter medium?Filter paper or wallpaper.,"Filter paper.Because filter paper is a paper with good filtering properties, which is loose and has strong absorption properties for liquids.",0
List the hight that cats can climb on tree?,May be two or three meters.,0
"Name a book by Darwin, a famous biologist.",On the Origin of Species.,0
What an empty drawer could contain?,Anything as long as there is room in it.,0
List two kinds of people like cartoons.,Children and some adults.,0
Why does people like to drink Coca to keep them awake?,Coca incluidng caffeine which makes you feel more alert when you're tired.,0
What kind of butterflies emerge from pupas?,Most butterflies emerge from pupas.,0
What type of architecture is the Forbidden City? Indian or Chinese?,The Forbidden city is a typical Chinese architecture.,0
Do people like to swim in ocean rather than swimming pool?,it depends,0
"If I want to visit a corn farm, which part of the city in Beijing should I go?","Outside the north sixth ring road of Beijing, you will see the corn farm.",0
Where can we see art works?,In the art museum.,0
Why drinking juice will promote digestion?,Because it contains abundant fiber.,0
"If I want to know the number of the stars, what should I do?",You can search online.,0
How long is a kangaroo pregnant before it gives birth?,So the whole pregnancy is only about 28 days long!,0
"If I want to extract salt from seawater, what should I do?",The water in the seawater is evaporated to obtain sea salt.,0
Why do cows like to eat grass?,Because cows are herbivores.,0
"Which one belongs to Europe, Germany or China?",Germany belongs to China.,0
How many colonies did Britain have now?,Britain still has 12 colonies around the world now.,0
What kind of plants help digestion?,Rosemary and parsley.,0
Is water consists of lots of water molecules?,"Yes, it also contains some other elements.",0
"If I want to drive my 4 wheels QQ car to Great Wall from Beijing, how long will it takes?","It depending, if you start from the center of Beijing, it may takes 1.5 hours.",0
What's is the number of the computer users in the world?,About 4.66 billion computer users.,0
"If koala want to  eat leaves, how often does it eat?",Koala eat 5 to 6 times per day.,0
Why should people with pregnancy not use sumac?,"Because sumac works to remove blood stasis, its use in pregnant people can lead to miscarriage or bleeding.",0
"List the time length for the movie Age of Ultron, it is 1 or 2 hours?",It is  2 hours and 21 minutes.,0
List the number of the ears does a rabbit have.,A rabbit has two ears.,0
What type of animal is a cat?,The cat is a species of small carnivorous mammal.,0
Name a country of Australia.,New Zealand.,0
"Which one has less quality, a tiger or an elephant?",A tiger.,0
How many eyes does a monk seal have?,The monk seal has two eyes.,0
What time of year do Vanda orchids bloom in warm tropical climate zones?,It can bloosm at any time of the year under ideal growing conditions.,0
List 3 sports that involve moving your hands and feet.,"Playing badminton, high jumping, swimming.",0
Does the lion run faster then human,"Yes, lion can run about 50 kilometers for one hour, but human just can run about 15 kilometer for one hour",0
When can humans lie or breathe at the same time?,While sleeping.,0
"If I want to get a fish, what should I take?",Fishing net.,0
How to bake fish in an oven?,"1.Make a few cuts in the fish. 2. Stuff with ginger, pour some wine and sprinkle with salt. 3. Marinate for an hour or so to taste. 4. Prepare the garnish, sprinkle with cumin and pepper after the fish has been marinated. 5. Line with tin foil, grease and bake in the oven for 15 minutes. 6. Stir-fry the garnish in a pan. 7. Then pour over the fish and serve.",0
What kind of food does a drone eat?,It eats pollen or nectar.,0
How many legs do humans used for walk?,Two.,0
When can apple trees produce apples?,Usually in autumn,0
Where did Sun Zhongshan live in 1894?,"In Hawaii,US.",0
When did Hopkins named vitamin?,In 1912.,0
What does a pianist take for a swim in the sea?,Swimwear.,0
What kind of habitats does swan like?,"A place with lakes, fresh air and abundant plants.",0
"Which plant do you prefer, hydrangea or horse?",Of course hydrangea.,0
Why do people with strong immune systems not to be prone to infection?,This is because people with a strong immune system are more likely to clear out the virus.,0
List one television drama that was popular in 2010s in China.,Empresses in the Palace.,0
Why adult butterflies emerge from pupas?,The laws of growth.,0
"As a famous chemist, What did Madame Curie find?",She found radium in her chemical experiments.,0
List five non-metallic elements.,"Hydrogen, Helium, Lithium, Beryllium, Boron.",0
What should women pay attention to when breastfeeding their child?,"In terms of diet, women should not eat raw, cold and spicy food, and should not eat greasy and fried food when they breastfeeding their child.",0
How does people feel when having a headache?,People feel dizzy and mostly his body temperature goes up.,0
List a kind of melons that grow on lands.,"Many kinds of melons grow on lands, such as watermelon.",0
When did east and west Germany reunion?,In 1990.,0
How many gizzards does a chicken have?,There are two gizzards.,0
How do Siberian tigers live in Northeast Asia?,"The Siberian tiger lives in the forest, shrub and wild grass. Siberian tigers like to live alone and have no settlement.",0
What's the color of Europeans of hair? Brown or faxen?,"Beside those two, also  blonde or red.",0
How many choices do people have to face to get married?,"People have two choices, to get married or not to get married.",0
How to make cheese out of milk?,"We can use the proteins and fats in milk, and mature it with bacteria or other organisms.",0
Why do we absorb information faster when our brain wave frequency is eight-twelve Hz (Hertz)?,"Because our brains are 'relaxed and active at this time, we are able to absorb information more quickly and effectively.",0
How many wings do eagles have?,Eagles usually have two wings to help them fly in the sky.,0
How many insects with three pairs of legs do you see?,"There are three insects with three pairs of legs including a butterfly, a bee and a beetle.",0
List one method apes turn into humans?,By evolution.,0
How to take a measurement for a elephant's tail?,Using a leather ruler to measure the length of elephant's tail.,0
Do lizards prey on insects to live?,"Yes, because most lizards are carnivorous animals, and insects are their main food.",0
Where can you get oxygen on Earth?,You can get a bottle of oxygen in the hospital.,0
What is the role of the bridge?,"Bridges are specialized man-made structures with load-bearing capacity for use by railways, roads, canals, pipelines, etc. across rivers, valleys or other lines of communication.",0
How can the mom feed her baby?,By the milk.,0
Name a way that I can buy a iPhone 13?,"You can go to an Ipod store, or purchase online.",0
List the time length for a dog to become an adult dog.,"A large dog breed will mature into an adult at about 15 months, while smaller breeds will be puppies for only 9 months.",0
"If I travel to USA, where can I see the White House?",In Washington D.C. of USA.,0
How long ago did us start to using computers?,The first computer was invented by Charles Babbage (1822) but was not built until 1991!,0
Does monkeys live in the national park in China?,"Some national park in China have monkeys, but not all.",0
How long does it take for a caterpillar to become a butterfly?,About 9 months.,0
What color did Tang Dynasty use for paintings?,"Yellow was the major color, also have blue and green.",0
What color are the earphones made by Apple Inc?,They are white.,0
"If a man does proper exercise a day, why he is getting healthier?",Doing exercise can help build a healthy body.,0
How many snout does a rhino have?,A rhino has one snout.,0
Why does a frightened sheep pretend to be dead,because some sheep suffer from congenital myotonia,0
Why can fish breathe in the water?,Because fish has gills.,0
Was the light bulb invented by Edison a great invention?,"Yes, it was invented by Edison in 1879.",0
How long is hurricane season in Texas?,The hurricane season in Texas runs June to November and peaks in early to mid September.,0
"Which fruit has the core, apple or banana?",Apple.,0
Why are the gears round?,"This is because the distance between any point on the circumference of the circle and the centre of the circle is fixed. This is why it is possible to transmit power smoothly, uniformly and continuously during rotation.",0
"If Peking Man got disease like fever, how long will it last? one or two days?","It depending, but most fevers usually go away by themselves after 1 to 3 days. A persistent or recurrent fever may last or keep coming back for up to 14 days.",0
"If I want to know the numbers of the international organizations on the Earth, then what should I do?","You can search online, and there are about eighty-one thousand international organizations on earth.",0
does reefs easy to find in ocean ?,"Yes, and it may cause some accidence",0
"Which is the second letter of the Greek alphabet, beta or alpha?",Beta.,0
Why should we be friendly to others?,Because it can help us make more friends and make the world a little better.,0
Why do durians smell bad?,"Durian has volatile sulfides, which are often described as putrid, rotten egg smell, etc. A group of genes in durian associated with volatile sulfides is highly active when the durian is ripe, giving its strong odor.",0
Who was the person helped Qin Shihuang to design the Terracotta Warriors? Luban or Lisi?,The prime minister Li Si at that time was the designer.,0
Which company is a fortune 500 company in the world? CICI or Wal-Mart?,Wal-Mart.,0
Why can a fish breathe in the ocean?,Because it has gills.,0
Name an animal that can live in the sea.,"There are different types of animals in the sea, such as shark and whale.",0
How many legs does tripod have? three or six?,Tripod have three legs which provides good stability.,0
Why should we avoid being unhealthy?,Because that will make us ill and sick.,0
Why vegetarians also get cancer?,"Vegetarians have fewer cancers, but higher risk of colorectal cancer",0
What kind of meat the ducking is?,Duckling is a duck.,0
"When a trooper raises a grenade, in which direction should he throw it?",He should throw the grenade at where the enemies are.,0
Why does the brake light in the car fail?,The wires had short-circuited and burnt out.,0
What kind of power does a person need to govern a country?,"There are so many, for example, the power to deploy an army.",0
When did Newton prove that white light is a mixture of different colors of light?,Newton proved this theory in 1666.,0
Why glass windows have smooth surfaces?,It is the result of the combined effect of gravity and surface tension of the liquid.,0
List the time leagth for human to hold their breath,The length of time a person can hold their breath voluntarily typically ranges from 30 to 90 seconds,0
Which one is the correct answer regarding the number of the mouths for a man? one or three?,Human only have one.,0
